,outils
272,postgres|r|oxygen|xquery|excel|notepad||omeka|xquery|qgis|vetabello|gimp|paint
275,jupyter|python|mysql|php|google forms|excel|openrefine|r|goole charts
276,matlab|r|spss|plt
277,word|qgis
279,word|excel|photoshop|powerpoint|photoshop
283,traitement de texte|tableur|r|aperçu
284,sphinx
285,python|r
287,stata
288,sphinx|maxqda|qgis|dragon|excel|word
289,
290,stata|excel
291,excel|qgis|addobe illustrator
292,word
293,access|nvivo|excel|inkscape|photoshop
295,office
296,logiciels maison|adobe illustrator
297,word|powerpoint|keynote adobe|aperçu|excel|photoshop
298,excel|word|paint
299,r|python|limesurvey|qdaminer|nvivo|dot
300,google forms|limesurvey|r|stata|sas|excel
301,
302,word|powerpoint|opendatasoft|photoshop
303,treetagger|logiciels maison||sed|awk|perl|haskell|gimp|libreoffice|inkscape
304,access|qgis|libreoffice|excel|openrefine|tulip|illustrator|paint
305,suite adobe|arcgis|qgis|office|arcgis|qgis|illustrator|illustrator
306,qgis|filemaker|adobe photoshop|illustrator|openrefine|qgis|draw.io
307,r|qgis
308,nvivo|excel|word|zotero
309,word|excel
310,
311,python|jupyter
312,word|excel|powerpoint|word
313,word|elan|alceste|iramuteq|excel|limesurvey|r|spss|spss|office
314,spss|amos|mplus|office|word
316,office|adobe suite|arcgis|zotero|indesign|illustrator|coreldraw|photoshop|arcgis
319,qgis|adobe|arcgis|autocad|adobe|arcmap
320,office
322,office|adobe|autocad|sig|excel|powerpoint
324,office|affinity|adobe|qgis|meshlab|adobe
325,transcriber|toolbox|python|teicorpo|txm|elan|inception|pspp
326,office|adobe|agisoft|metashape|qgis|meshlab|photoshop|illustrator
328,r|arcgis|xlstat|r|powerpoint|adobe illustrator
332,excel|spad|maxqda|word
333,elan|excel||word|paint
334,word
335,word
338,word|endnote|excel
339,limesurvey|excel
343,word
346,selen|excel|python
347,r|qgis|office|adobe illustrator|filemaker
348,limesurvey|excel|r|jamovi
349,reaper|pure data|praat|spectrogramme
350,xlstats|excel|logiciels statistiques|dao|paint
351,office|adobe|qgis|photoshop|logiciels maison
352,word|pages
354,spss|atlasti|nvivo|r|excel
356,excel|word|xlstats|iramuteq|notepad
360,adobe photoshop|adobe illustrator|excel|arcgis|filemaker|r
361,spss|amos|sphinx
363,excel|openrefine|spad|sphinx|irfanview|google map
365,openrefine|textwrangler|phpmyadmin|python|php|perl|xslt|txm|nosketchengine|allegro|r|perl|spiderlex|yed|cytoscape|mvs|dicet|yed|gimp|latex
366,r
367,google forms|qualitrics|limesurvey|iramuteq|spss|alceste|amos|r|excel|powerpoint
374,word|excel|filemaker|qgis|photoscan|adobe illustrator
377,word|illustrator|excel|ccleaner|adobe illustrator
380,nvivo|excel
382,office|adobe|photoscan|qgis|google earth|lecteur windows|photoshop|illustrator
383,word|excel|mind manager|adobe|powerpoint|c cleaner|powerpoint
384,office|photoshop|adobe premiere|indesign|photoshop
385,
386,audacity|openrefine|txm|r|gephi|affinity
391,excel|filemaker|photoshop illustrator|indesign|excel|qgis|géoportail
392,open office|inkscape|gimp|musescore|omeka|inkscape
393,filemaker|access|excel
394,fizz|redjade|panelcheck|consocheck|xlstats|spad|sas|r|xlsats
411,word|antidote|compilatio|word|powerpoint
414,office
415,word|autocad|excel|photoshop|indesign|autocad
420,office|adobe acrobate|excel|paint|corell
421,word|excel
422,logiciels maison|spss|jasp|r|spss
429,arcgis|qgis|adobe illustrator|word|excel|qgis|adobe photoshop|inkscape
431,excel|r|iramuteq|voyant tools|gephi|inkscape
435,powerpoint
437,libreoffice
439,excel|word|r
440,excel|iramuteq|word
441,sonal|zotero|express|scribe|word|alceste
446,multicam|mindmap|framamind|framindmap|magrit|framacarte
452,excel|word
453,powerpoint
458,office
464,sphinx|spss
465,stata|excel|r|gretl
466,excel|mysql
468,word
471,excel
474,libreoffice|google earth|vlc|elan|pdf xchange viewer|google earth
488,sig|bdd|statistiques|post-traitements de données gps|outils spécifiques liés aux données captées sur le terrain|outils win|ccleaner|toutes les applications métiers|powerpoint|inkscape|adobe illustrator|logiciels maison
492,sas|adobe|sphinx|r|xlstat|qgis|xlstat|illustrator
503,processing|pure data|python
504,libreoffice
507,office
511,excel|spss|iramuteq
513,word|ccleaner
516,audacity|word|nvivo|gephi|word|excel|powerpoint
517,word|excel|nvivo|arcgis|geonetwork|illustrator|indesign
520,excel
531,word|libreoffice|avast
538,word|iramuteq
539,ubuntu|libreoffice|thunderbird|firefox
540,excel|datavisualisation en ligne
541,word|preview
543,libreoffice|prezi|adobe acrobate reader
547,nvivo|tropes|suite framasoft
548,google
550,google forms|tropes|clan|elan
552,limesurvey|excel|spss|alceste
554,flexemarkets|ztree|datastream|crsp|edgar|r|stata|matlab|excel|r|matlab|excel
555,qualtrics|spss|excel|word|powerpoint
556,spss
558,transkribus|r|openrefine|excel|sparql|omeka|freemind|gimp|scribus
560,word|excel|kartis
561,flex|word
564,zettlr|hypothe.is|photoshop|premiere-pro|illustrator|indesign|antidote|audible|medium.org|souldcloud|python|advene|gephi|mermaid|indesign|pencil.io|thinkcomposer
569,word|photoshop
572,sbdd|sig|traitement de texte|excel|inkscape|adobe illustrator|qgis|photofiltre
578,word
579,word|sonic visualiser|transcribe!|audacity|adobe premiere|musescore|final cut|vlc|quicktime|adobe indesign
580,perl|excel|bash|r|qgis
581,word|excel|word|paint
582,office|spss|iramuteq|nvivo|cytoscape|spss|iramuteq|nvivo|power bi|powerpoint
587,adobe|correldraw|photoscan|oishare
588,
591,sas|matlab|arcgis|r|sas
592,r|sa|stata|excel|arcview
594,excel|jupyter|python|r|tropy|openrefine|insckape
595,excel
596,zotero|tableur|md|atom|traitement de texte|iramuteq|r
597,qgis|libreoffice|r|postgres|postgis|inkscape
598,
613,excel|statview|powerpoint
619,spss|excel
621,spss|prism|excel|powerpoint
623,labchart|powerpoint|prism
626,adobe illustrator
629,word|c cleaner
630,word|photoshop
631,filemaker|word|aperçu|iphoto|filemaker
634,
637,office|download helper|quicktime
639,filemaker|qgis|tableurs|dao
640,stata|qgis|excel|stata
642,office
643,zotero|word|curia.eu
644,stata|r|latex|excel
645,scrivener|word|photoshop|indesign|qgis|garmin basecamp|illustrator|qgis
646,office|paint
651,excel|tableur|cortext|gargantext|google sheet|logiciels maison|open refine|gephi|paint|publisher
652,excel|r
653,notepad
655,google docs|zotero
658,txm|open refine|sketch engine|open refine|txm|iramuteq|iramuteq|gimp
662,spss|nvivo|tropes|sphinx|r|powerpoint|chonomap
668,julia|inkscape|gimp|libreoffice
671,thesaurus linguae graecae
676,office|filemaker|latex|onyx|word|finale
678,drupal|mysql|powerpoint
682,word|excel
685,libreoffice|qgis|illustrator|r|qgis
686,arcgis|progiciels
694,word|zotero
695,aperçu|word
